Frame,Danger_Sent,Steering_Sent,FPGA_Brake_Recv,FPGA_Throttle_Recv,FPGA_Steer_Recv
1,51,19,51,0,19
2,45,42,45,10,42
3,40,72,40,20,72
4,32,101,32,36,101
5,28,123,28,44,123
6,26,130,26,48,130
7,25,132,25,50,132
8,27,133,27,46,133
9,26,134,26,48,134
10,27,134,27,46,134
11,26,134,26,48,134
12,27,133,27,46,133
13,29,133,29,42,133
14,28,133,28,44,133
15,25,133,25,50,133
16,27,133,27,46,133
17,26,133,26,48,133
18,25,132,25,50,132
19,28,131,28,44,131
20,26,130,26,48,130
21,25,230,25,50,230
22,21,128,21,58,128
23,0,127,0,100,127
24,24,126,24,52,126
25,24,126,24,52,126
26,24,126,24,52,126
27,37,237,37,26,237
28,22,126,22,56,126
29,24,127,24,52,127
30,26,128,26,48,128
31,26,129,26,48,129
32,27,129,27,46,129
33,25,130,25,50,130
34,27,132,27,46,132
35,25,134,25,50,134
36,27,135,27,46,135
37,24,135,24,52,135
38,22,136,22,56,136
39,22,135,22,56,135
40,26,135,26,48,135
41,23,135,23,54,135
